seq,Lat,Lon,vin,cluster_labels
1928,40.0869316,-83.08962640000001,1b6b151e803d8fd9391f4b03c4ffdc65,14
1929,40.103239,-83.0900745,1b6b151e803d8fd9391f4b03c4ffdc65,13
1931,40.1164335,-83.0597416,1b6b151e803d8fd9391f4b03c4ffdc65,73
1932,40.1001833,-83.0881052,1b6b151e803d8fd9391f4b03c4ffdc65,13
1934,40.1014639,-83.0897698,1b6b151e803d8fd9391f4b03c4ffdc65,13
1935,40.1234902,-83.090594,1b6b151e803d8fd9391f4b03c4ffdc65,17
1937,40.1164193,-83.0597184,1b6b151e803d8fd9391f4b03c4ffdc65,73
1938,40.1001745,-83.0876246,1b6b151e803d8fd9391f4b03c4ffdc65,13
1940,40.116457700000005,-83.0597646,1b6b151e803d8fd9391f4b03c4ffdc65,73
1941,40.1176941,-83.06875409999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1943,40.117698299999994,-83.0687467,1b6b151e803d8fd9391f4b03c4ffdc65,16
1944,40.117712299999994,-83.0687507,1b6b151e803d8fd9391f4b03c4ffdc65,16
1946,40.117693100000004,-83.06873900000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1949,40.1176907,-83.0687453,1b6b151e803d8fd9391f4b03c4ffdc65,16
1950,40.1176321,-83.0660977,1b6b151e803d8fd9391f4b03c4ffdc65,16
1952,40.1176412,-83.06878449999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1953,40.1164411,-83.0597538,1b6b151e803d8fd9391f4b03c4ffdc65,73
1955,40.1176779,-83.06875190000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1958,40.1164436,-83.0597829,1b6b151e803d8fd9391f4b03c4ffdc65,73
1959,40.1176917,-83.0687534,1b6b151e803d8fd9391f4b03c4ffdc65,16
1961,40.1033106,-83.0901786,1b6b151e803d8fd9391f4b03c4ffdc65,13
1962,40.1164378,-83.05978890000002,1b6b151e803d8fd9391f4b03c4ffdc65,73
1964,40.10017979999999,-83.08779190000001,1b6b151e803d8fd9391f4b03c4ffdc65,13
1965,40.116452200000005,-83.059765,1b6b151e803d8fd9391f4b03c4ffdc65,73
1967,40.1176344,-83.0687942,1b6b151e803d8fd9391f4b03c4ffdc65,16
1968,40.1164505,-83.0597477,1b6b151e803d8fd9391f4b03c4ffdc65,73
1970,40.1173514,-83.0662991,1b6b151e803d8fd9391f4b03c4ffdc65,16
1971,40.118086299999995,-83.06642559999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1974,40.117684600000004,-83.0687802,1b6b151e803d8fd9391f4b03c4ffdc65,16
1976,40.116434999999996,-83.0597472,1b6b151e803d8fd9391f4b03c4ffdc65,73
1978,40.117683500000005,-83.06875169999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1979,40.1176903,-83.06871329999998,1b6b151e803d8fd9391f4b03c4ffdc65,16
1981,40.1176836,-83.0687215,1b6b151e803d8fd9391f4b03c4ffdc65,16
1985,40.11768370000001,-83.0687573,1b6b151e803d8fd9391f4b03c4ffdc65,16
1987,40.1164575,-83.0597497,1b6b151e803d8fd9391f4b03c4ffdc65,73
1988,40.1176838,-83.06875190000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1990,40.1164248,-83.0597427,1b6b151e803d8fd9391f4b03c4ffdc65,73
1991,40.117628100000005,-83.068794,1b6b151e803d8fd9391f4b03c4ffdc65,16
1993,40.1180319,-83.0665877,1b6b151e803d8fd9391f4b03c4ffdc65,16
1994,40.1172891,-83.0682677,1b6b151e803d8fd9391f4b03c4ffdc65,16
1996,40.0999755,-83.0877415,1b6b151e803d8fd9391f4b03c4ffdc65,13
1997,40.1164441,-83.0597712,1b6b151e803d8fd9391f4b03c4ffdc65,73
1999,40.117674,-83.06875620000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
2000,40.1176804,-83.0687552,1b6b151e803d8fd9391f4b03c4ffdc65,16
2003,40.11769,-83.0687762,1b6b151e803d8fd9391f4b03c4ffdc65,16
2004,40.11642620000001,-83.0597233,1b6b151e803d8fd9391f4b03c4ffdc65,73
2006,40.09998289999999,-83.08776440000001,1b6b151e803d8fd9391f4b03c4ffdc65,13
2007,40.1164609,-83.05976629999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
2009,40.117697799999995,-83.06877709999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
2012,40.117698700000005,-83.068811,1b6b151e803d8fd9391f4b03c4ffdc65,16
2015,40.117681700000006,-83.0687814,1b6b151e803d8fd9391f4b03c4ffdc65,16
2016,40.1164494,-83.0597676,1b6b151e803d8fd9391f4b03c4ffdc65,73
2018,40.1176824,-83.0687684,1b6b151e803d8fd9391f4b03c4ffdc65,16
2019,40.1164201,-83.0597196,1b6b151e803d8fd9391f4b03c4ffdc65,73
2022,40.1172049,-83.06555300000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
