,Lat,Lon,cluster_labels
1808,40.1189783,-83.010242,-1
1809,40.145673200000004,-82.9916027,-1
2017,40.141312400000004,-82.94323,-1
2018,39.9798665,-82.6850079,-1
2019,40.14130120000001,-82.9435897,-1
2020,39.9798646,-82.68500440000001,-1
2021,40.1427302,-82.9652128,-1
2022,40.1413081,-82.9434969,-1
2023,40.1106326,-82.9455953,-1
2024,39.979859600000005,-82.685018,-1
2673,40.059671,-82.966987,-1
2674,40.048221999999996,-82.858074,-1
2675,39.9857018,-82.94565870000001,-1
2676,39.997167600000004,-82.9754031,-1
2677,40.074687700000005,-82.9725092,-1
2678,39.997156,-82.97533670000001,-1
2679,40.0480474,-82.8578819,-1
2680,39.997172,-82.97545600000001,-1
2681,39.996563,-83.01735500000001,-1
2682,39.997170000000004,-82.975474,-1
2683,39.9629565,-82.7800343,-1
2684,39.997146799999996,-82.97529370000001,-1
2685,40.048921,-82.857646,-1
2686,40.048914,-82.8576944,-1
2687,39.9971571,-82.9754843,-1
2688,39.962876,-82.78012700000001,-1
2689,39.997166,-82.97545,-1
2690,40.0130489,-82.99499859999999,-1
2691,39.9971701,-82.9754374,-1
2692,40.074684999999995,-82.972504,-1
2693,39.99716179999999,-82.9753587,-1
2694,39.970488,-82.956311,-1
2695,39.9971555,-82.9753059,-1
2696,40.0482371,-82.85810409999999,-1
2697,39.9971555,-82.9754356,-1
2698,39.99652929999999,-83.0168824,-1
2699,39.997159499999995,-82.97547229999999,-1
2700,39.997172,-82.9754468,-1
2701,40.0741451,-82.97257320000001,-1
2702,39.999178,-82.974887,-1
2896,40.1724947,-82.9759265,-1
2897,40.1409056,-83.0101089,-1
2898,40.1613301,-83.02159,-1
2899,40.164514700000005,-83.0168475,-1
2900,40.1409436,-83.0102321,-1
2901,40.1635795,-83.0185688,-1
2902,40.0513172,-82.91409399999999,41
2903,40.0595076,-82.91361579999999,-1
2904,40.059658899999995,-82.9175605,-1
2905,40.1409226,-83.0100907,-1
2906,40.1409151,-83.0101911,-1
2907,40.0304249,-83.0361645,51
2908,40.140906,-83.0101863,-1
2909,40.0303103,-83.0360562,51
2910,40.0610739,-82.9947301,-1
2911,40.077898100000006,-82.9512863,-1
2912,40.080819899999995,-82.9509633,-1
2913,40.1409158,-83.0102,-1
2914,40.080887,-82.95089250000001,-1
2915,40.1409083,-83.01019709999998,-1
2916,40.1688334,-82.9768953,-1
2917,40.1409105,-83.0101936,-1
2918,40.1409151,-83.01018020000001,-1
2919,40.030623299999995,-83.0363765,51
2920,40.1409084,-83.010199,-1
2990,39.9796828,-82.9957837,-1
2991,40.0496167,-82.91680229999999,-1
3620,39.9843092,-83.1531816,-1
3621,39.9681473,-83.1633685,9
3623,39.96815479999999,-83.163392,9
3624,39.938964500000004,-83.0821833,-1
3625,39.9681364,-83.1633905,9
3626,39.9878893,-83.1535993,-1
3627,39.9681304,-83.16338879999999,9
3628,40.0142289,-83.158946,-1
3629,39.968131,-83.16338359999999,9
3633,39.95143770000001,-83.155381,-1
3634,39.968129,-83.16338449999999,9
3635,40.0262694,-83.1206997,-1
3636,39.9681503,-83.1633916,9
3637,39.942818599999995,-83.1406741,-1
3638,39.968138399999994,-83.16340190000001,9
3639,39.9496374,-83.1212396,-1
3640,39.9893282,-83.153662,-1
3641,39.9681321,-83.1633942,9
3642,39.953337,-83.1245512,-1
3643,40.0519864,-82.9752123,-1
3644,39.9681274,-83.1633869,9
3645,40.033672700000004,-83.0298428,-1
3646,39.939527399999996,-83.0823851,-1
3647,39.9681389,-83.16336020000001,9
3648,39.9880396,-83.1534461,-1
3649,39.953404600000006,-83.1246671,-1
3650,39.9655795,-83.1643328,-1
3652,39.9681412,-83.16334590000001,9
3653,39.9878504,-83.153248,-1
3654,39.968129600000005,-83.16339140000001,9
3656,39.9681376,-83.1633807,9
3657,40.030684,-83.15686590000001,-1
3658,39.9681399,-83.163363,9
3659,39.987902899999995,-83.15356609999999,-1
3660,39.984413599999996,-83.15332109999999,-1
3661,39.9732339,-83.1513983,-1
3663,39.9681419,-83.1633684,9
3664,39.987856,-83.1532448,-1
3812,39.9889508,-83.04470649999999,-1
3813,39.9477194,-82.9906617,-1
3814,39.949432200000004,-82.9985257,-1
3815,39.947734600000004,-82.9906567,-1
3816,40.113378999999995,-82.94810670000001,-1
3817,39.9478162,-82.99036720000001,-1
3818,39.9488721,-82.99526290000001,-1
3819,39.9480205,-82.9907108,-1
3820,39.94886339999999,-82.9952554,-1
3821,39.978021399999996,-83.0230546,-1
3822,39.9480966,-82.9906956,-1
3823,39.9774689,-83.02299520000001,-1
3824,39.9476989,-82.99065379999999,-1
3825,39.984101200000005,-82.9261343,-1
3826,39.9477929,-82.9903974,-1
3827,39.9557199,-82.9888297,-1
3828,39.9519149,-82.98765709999999,-1
3829,39.981632700000006,-82.91013769999999,-1
3830,39.9780304,-83.0230022,-1
3831,39.9478109,-82.9903857,-1
3832,39.977682200000004,-83.02305909999998,-1
3833,39.9478225,-82.9903902,-1
3834,39.9775454,-83.0230153,-1
3835,39.9478277,-82.9903994,-1
3836,39.9771436,-83.0229186,-1
3837,39.9928882,-83.02531540000001,35
3838,39.977754,-83.0229181,-1
3884,39.943439500000004,-82.8185511,-1
3885,39.9459501,-82.9725266,10
3886,39.988264,-83.0685509,-1
3887,39.967245899999995,-82.9822976,-1
3888,39.9459505,-82.9725142,10
3889,39.9552513,-82.8285699,-1
3890,40.142706,-82.97776879999999,-1
